Trial,Block,Item1,Item2,CorrResponse,Response,Corr,RT,Item1Offset,SubjectID,LQ,Experimenter,DateTime
1,1,z,z,same,same,1,6342,1322,1,100,JC,14-Jan-2020 16:39:58
2,1,k,a,diff,diff,1,4143,873,1,100,JC,14-Jan-2020 16:40:29
3,1,c,c,same,same,1,5383,943,1,100,JC,14-Jan-2020 16:40:58
4,1,m,c,diff,diff,1,4107,956,1,100,JC,14-Jan-2020 16:41:29
5,1,y,y,same,same,1,4397,963,1,100,JC,14-Jan-2020 16:42:03
6,1,k,x,diff,diff,1,4704,884,1,100,JC,14-Jan-2020 16:42:25
7,1,k,k,same,same,1,4884,772,1,100,JC,14-Jan-2020 16:42:51
8,1,x,l,diff,diff,1,4595,1241,1,100,JC,14-Jan-2020 16:43:12
9,1,a,a,same,same,1,3405,732,1,100,JC,14-Jan-2020 16:43:30
10,1,q,v,diff,diff,1,4078,1013,1,100,JC,14-Jan-2020 16:43:57
11,1,i,i,same,same,1,3629,764,1,100,JC,14-Jan-2020 16:44:15
12,1,v,v,same,same,1,4856,974,1,100,JC,14-Jan-2020 16:44:36
13,1,u,p,diff,diff,1,5822,1144,1,100,JC,14-Jan-2020 16:45:12
14,1,i,d,diff,diff,1,5867,949,1,100,JC,14-Jan-2020 16:45:43
15,1,r,r,same,same,1,5083,884,1,100,JC,14-Jan-2020 16:46:06
16,1,v,m,diff,diff,1,4455,933,1,100,JC,14-Jan-2020 16:46:31
17,1,v,v,same,same,1,5309,984,1,100,JC,14-Jan-2020 16:46:56
18,1,f,f,same,diff,0,5167,866,1,100,JC,14-Jan-2020 16:47:16
19,1,z,z,same,same,1,5782,924,1,100,JC,14-Jan-2020 16:47:36
20,1,j,p,diff,same,0,5463,1002,1,100,JC,14-Jan-2020 16:48:01
21,1,c,b,diff,same,0,5486,746,1,100,JC,14-Jan-2020 16:48:25
22,1,k,k,same,same,1,6501,1129,1,100,JC,14-Jan-2020 16:48:54
23,1,l,l,same,same,1,4587,1067,1,100,JC,14-Jan-2020 16:49:17
24,1,a,b,diff,diff,1,4366,871,1,100,JC,14-Jan-2020 16:49:38
25,1,i,s,diff,diff,1,4636,892,1,100,JC,14-Jan-2020 16:49:58
26,1,t,t,same,diff,0,4886,968,1,100,JC,14-Jan-2020 16:50:25
27,1,l,b,diff,diff,1,4678,944,1,100,JC,14-Jan-2020 16:50:50
28,1,v,u,diff,same,0,5325,1016,1,100,JC,14-Jan-2020 16:51:19
29,1,y,x,diff,diff,1,5181,970,1,100,JC,14-Jan-2020 16:51:40
30,1,u,h,diff,diff,1,4942,909,1,100,JC,14-Jan-2020 16:52:00
31,1,f,m,diff,same,0,5949,976,1,100,JC,14-Jan-2020 16:52:21
32,1,v,v,same,diff,0,4966,983,1,100,JC,14-Jan-2020 16:52:41
33,1,l,l,same,same,1,4811,998,1,100,JC,14-Jan-2020 16:53:05
34,1,b,k,diff,diff,1,5484,1631,1,100,JC,14-Jan-2020 16:53:30
35,1,e,k,diff,same,0,5534,970,1,100,JC,14-Jan-2020 16:54:03
36,1,k,i,diff,diff,1,5382,1026,1,100,JC,14-Jan-2020 16:54:28
37,1,u,x,diff,diff,1,4143,1026,1,100,JC,14-Jan-2020 16:54:51
38,1,s,s,same,same,1,5916,945,1,100,JC,14-Jan-2020 16:55:14
39,1,u,j,diff,diff,1,4813,1094,1,100,JC,14-Jan-2020 16:55:35
40,1,m,m,same,same,1,5575,1035,1,100,JC,14-Jan-2020 16:55:59
41,1,o,n,diff,diff,1,4934,834,1,100,JC,14-Jan-2020 16:56:20
42,1,h,h,same,diff,0,4784,849,1,100,JC,14-Jan-2020 16:56:40
43,1,g,h,diff,same,0,5725,930,1,100,JC,14-Jan-2020 16:57:00
44,1,v,v,same,same,1,5023,733,1,100,JC,14-Jan-2020 16:57:25
45,1,h,f,diff,same,0,4720,1080,1,100,JC,14-Jan-2020 16:57:45
