Item1,Item2,Difficulty,Correct
z,z,same,same
k,a,easy,diff
c,c,same,same
m,c,easy,diff
y,y,same,same
k,x,easy,diff
k,k,same,same
x,l,easy,diff
a,a,same,same
q,v,easy,diff
i,i,same,same
v,v,same,same
u,p,easy,diff
i,d,easy,diff
r,r,same,same
v,m,easy,diff
v,v,same,same
f,f,same,same
z,z,same,same
j,p,easy,diff
c,b,easy,diff
k,k,same,same
l,l,same,same
a,b,easy,diff
i,s,medium,diff
t,t,same,same
l,b,medium,diff
v,u,medium,diff
y,x,medium,diff
u,h,medium,diff
f,m,medium,diff
v,v,same,same
l,l,same,same
b,k,medium,diff
e,k,medium,diff
k,i,medium,diff
u,x,medium,diff
s,s,same,same
u,j,medium,diff
m,m,same,same
o,n,medium,diff
h,h,same,same
g,h,medium,diff
v,v,same,same
h,f,medium,diff
,,,
h,h,same,same
m,m,same,same
g,z,medium,diff
p,p,same,same
j,j,same,same
h,h,same,same
d,d,same,same
h,r,medium,diff
i,i,same,same
x,x,same,same
t,w,hard,diff
p,p,same,same
d,f,hard,diff
l,l,same,same
e,e,same,same
h,j,hard,diff
u,u,same,same
q,g,hard,diff
p,n,hard,diff
p,r,hard,diff
c,c,same,same
c,c,same,same
q,y,hard,diff
i,e,hard,diff
a,a,same,same
p,p,same,same
p,p,same,same
k,k,same,same
g,n,hard,diff
z,w,hard,diff
l,l,same,same
w,w,same,same
b,b,same,same
s,o,hard,diff
r,q,hard,diff
z,z,same,same
n,d,hard,diff
t,j,hard,diff
w,r,hard,diff
d,d,same,same
s,t,hard,diff
w,w,same,same
f,s,hard,diff
z,o,hard,diff
b,b,same,same
